"열린동물병원","대구광역시 동구 아양로 17 (신암동)","952-7227",
"햇빛동물병원","경기도 남양주시 덕송2로6번길 28-11 (별내동)","528-7545",
"Dr. 홍 동물병원","전라북도 부안군 부안읍 번영로 82-1","063-581-7582",
"웰니스 클리닉 동물병원","인천광역시 동구 봉수대로 82 (송림동)","032-765-7582",
"응암동물병원","서울특별시 은평구 응암로 261 (응암동)","387-6920",
"김정복동물병원","서울특별시 은평구 통일로 879 (갈현동)","357-8538",
"불광동물병원","서울특별시 은평구 불광로 37 (불광동)","356-1656",
"한얼동물병원","서울특별시 은평구 응암로 226 (응암동)","304-5553",
"연서동물병원","서울특별시 은평구 연서로 162 (대조동)","358-7582",
"늘푸른동물병원","서울특별시 은평구 은평로 29 (신사동)","388-3008",
"녹번동물병원","서울특별시 은평구 통일로 697 (녹번동)","354-4110",
"오거리동물병원","서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)","02-306-0158",
"LOVE MY PET 동물병원","서울특별시 은평구 은평로 208 (응암동)","382-7582",
"미래동물병원","서울특별시 은평구 서오릉로 192 (갈현동)","386-6092",
"더독동물병원","서울특별시 은평구 서오릉로 140 (대조동)","382-3243",
"금쪽같은내새끼 동물병원","서울특별시 은평구 연서로 185 (갈현동)","384-7743",
"한마음동물병원","서울특별시 은평구 갈현로 35 (신사동)","355-7931",
"우신동물병원","서울특별시 은평구 연서로 72, 1층 101호 (역촌동)","356-7547",
"메디펫동물병원","서울특별시 은평구 통일로 885 (갈현동)","02-384-0075",
"한수24시동물병원","서울특별시 은평구 응암로 319, 101호 (응암동)","306-8575",
"로얄동물병원","서울특별시 은평구 연서로 137 (구산동)","354-0975",
"은평동물병원","서울특별시 은평구 서오릉로 80 (대조동)","358-7566",
"야옹동물병원","서울특별시 은평구 응암로 286 (응암동)","354-0087",
"햇빛동물병원","경기도 남양주시 덕송2로6번길 28-11 (별내동)","528-7545",
"Dr. 홍 동물병원","전라북도 부안군 부안읍 번영로 82-1","063-581-7582",
"웰니스 클리닉 동물병원","인천광역시 동구 봉수대로 82 (송림동)","032-765-7582",
"응암동물병원","서울특별시 은평구 응암로 261 (응암동)","387-6920",
"김정복동물병원","서울특별시 은평구 통일로 879 (갈현동)","357-8538",
"불광동물병원","서울특별시 은평구 불광로 37 (불광동)","356-1656",
"한얼동물병원","서울특별시 은평구 응암로 226 (응암동)","304-5553",
"연서동물병원","서울특별시 은평구 연서로 162 (대조동)","358-7582",
"늘푸른동물병원","서울특별시 은평구 은평로 29 (신사동)","388-3008",
"녹번동물병원","서울특별시 은평구 통일로 697 (녹번동)","354-4110",
"오거리동물병원","서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)","02-306-0158",
"LOVE MY PET 동물병원","서울특별시 은평구 은평로 208 (응암동)","382-7582",
"미래동물병원","서울특별시 은평구 서오릉로 192 (갈현동)","386-6092",
"더독동물병원","서울특별시 은평구 서오릉로 140 (대조동)","382-3243",
"금쪽같은내새끼 동물병원","서울특별시 은평구 연서로 185 (갈현동)","384-7743",
"한마음동물병원","서울특별시 은평구 갈현로 35 (신사동)","355-7931",
"우신동물병원","서울특별시 은평구 연서로 72, 1층 101호 (역촌동)","356-7547",
"메디펫동물병원","서울특별시 은평구 통일로 885 (갈현동)","02-384-0075",
"한수24시동물병원","서울특별시 은평구 응암로 319, 101호 (응암동)","306-8575",
"로얄동물병원","서울특별시 은평구 연서로 137 (구산동)","354-0975",
"은평동물병원","서울특별시 은평구 서오릉로 80 (대조동)","358-7566",
"야옹동물병원","서울특별시 은평구 응암로 286 (응암동)","354-0087",
"예스동물병원","서울특별시 은평구 통일로 691 (녹번동)","354-5633",
"한빛동물병원","서울특별시 은평구 진관4로 87, 629동 116호 (진관동, 은평뉴타운상림마을)","382-7511",
"Dr.윤24시동물병원","서울특별시 은평구 통일로 817 (대조동)","02-359-0202",
"뉴타운동물병원","서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)","385-8275",
"도그원 동물의료센터","서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)","02-358-1591",
"24시스마트동물메디컬센터","서울특별시 은평구 은평로 93 (응암동)","02-387-7582",
"스머프동물병원","서울특별시 은평구 백련산로 145 (응암동)","02-969-7582",
"다루동물병원","서울특별시 은평구 불광로 60, 1층 (불광동)","02-356-8353",
"늘푸른동물병원","서울특별시 은평구 은평로 29 (신사동)","388-3008",
"녹번동물병원","서울특별시 은평구 통일로 697 (녹번동)","354-4110",
"오거리동물병원","서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)","02-306-0158",
"LOVE MY PET 동물병원","서울특별시 은평구 은평로 208 (응암동)","382-7582",
"미래동물병원","서울특별시 은평구 서오릉로 192 (갈현동)","386-6092",
"더독동물병원","서울특별시 은평구 서오릉로 140 (대조동)","382-3243",
"금쪽같은내새끼 동물병원","서울특별시 은평구 연서로 185 (갈현동)","384-7743",
"한마음동물병원","서울특별시 은평구 갈현로 35 (신사동)","355-7931",
"우신동물병원","서울특별시 은평구 연서로 72, 1층 101호 (역촌동)","356-7547",
"메디펫동물병원","서울특별시 은평구 통일로 885 (갈현동)","02-384-0075",
"한수24시동물병원","서울특별시 은평구 응암로 319, 101호 (응암동)","306-8575",
"로얄동물병원","서울특별시 은평구 연서로 137 (구산동)","354-0975",
"은평동물병원","서울특별시 은평구 서오릉로 80 (대조동)","358-7566",
"야옹동물병원","서울특별시 은평구 응암로 286 (응암동)","354-0087",
"예스동물병원","서울특별시 은평구 통일로 691 (녹번동)","354-5633",
"한빛동물병원","서울특별시 은평구 진관4로 87, 629동 116호 (진관동, 은평뉴타운상림마을)","382-7511",
"Dr.윤24시동물병원","서울특별시 은평구 통일로 817 (대조동)","02-359-0202",
"뉴타운동물병원","서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)","385-8275",
"도그원 동물의료센터","서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)","02-358-1591",
"24시스마트동물메디컬센터","서울특별시 은평구 은평로 93 (응암동)","02-387-7582",
"스머프동물병원","서울특별시 은평구 백련산로 145 (응암동)","02-969-7582",
"다루동물병원","서울특별시 은평구 불광로 60, 1층 (불광동)","02-356-8353",
"도담동물병원","서울특별시 은평구 역말로 7 (역촌동)","02-388-0275",
"조은동물병원","서울특별시 은평구 수색로 217 (수색동, 수색자이 1단지 107호)","02-3152-8575",
"재송동물병원","부산광역시 해운대구 재반로 117-1, 2층 (재송동)","784-0079",
"성심동물병원","부산광역시 해운대구 좌동순환로 308, 3층 (좌동)","704-7540",
"김준완 동물의료센터","부산광역시 해운대구 해운대로 580, 4층 (우동)","704-7582",
"신도시동물병원","부산광역시 해운대구 좌동순환로 178, 2층 (좌동)","703-6996",
"푸른동물병원","부산광역시 해운대구 해운대로61번길 104 (반여동)","784-1235",
"반송동물병원","부산광역시 해운대구 아랫반송로 11-1 (반송동)","545-0041",
"우신동물병원","서울특별시 은평구 연서로 72, 1층 101호 (역촌동)","356-7547",
"메디펫동물병원","서울특별시 은평구 통일로 885 (갈현동)","02-384-0075",
"한수24시동물병원","서울특별시 은평구 응암로 319, 101호 (응암동)","306-8575",
"로얄동물병원","서울특별시 은평구 연서로 137 (구산동)","354-0975",
"은평동물병원","서울특별시 은평구 서오릉로 80 (대조동)","358-7566",
"야옹동물병원","서울특별시 은평구 응암로 286 (응암동)","354-0087",
"예스동물병원","서울특별시 은평구 통일로 691 (녹번동)","354-5633",
"한빛동물병원","서울특별시 은평구 진관4로 87, 629동 116호 (진관동, 은평뉴타운상림마을)","382-7511",
"Dr.윤24시동물병원","서울특별시 은평구 통일로 817 (대조동)","02-359-0202",
"뉴타운동물병원","서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)","385-8275",
"도그원 동물의료센터","서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)","02-358-1591",
"24시스마트동물메디컬센터","서울특별시 은평구 은평로 93 (응암동)","02-387-7582",
"스머프동물병원","서울특별시 은평구 백련산로 145 (응암동)","02-969-7582",
"다루동물병원","서울특별시 은평구 불광로 60, 1층 (불광동)","02-356-8353",
"도담동물병원","서울특별시 은평구 역말로 7 (역촌동)","02-388-0275",
"조은동물병원","서울특별시 은평구 수색로 217 (수색동, 수색자이 1단지 107호)","02-3152-8575",
"재송동물병원","부산광역시 해운대구 재반로 117-1, 2층 (재송동)","784-0079",
"성심동물병원","부산광역시 해운대구 좌동순환로 308, 3층 (좌동)","704-7540",
"김준완 동물의료센터","부산광역시 해운대구 해운대로 580, 4층 (우동)","704-7582",
"신도시동물병원","부산광역시 해운대구 좌동순환로 178, 2층 (좌동)","703-6996",
"푸른동물병원","부산광역시 해운대구 해운대로61번길 104 (반여동)","784-1235",
"반송동물병원","부산광역시 해운대구 아랫반송로 11-1 (반송동)","545-0041",
"우리동물병원","부산광역시 해운대구 선수촌로 101 (반여동)",
"도그플러스동물병원","부산광역시 해운대구 센텀동로 6, 2층 (우동, 홈플러스센템시티점)","746-0075",
"화목종합동물병원","부산광역시 해운대구 세실로 48, 206호 (좌동)","704-4376",
"해운대조은동물병원","부산광역시 해운대구 해운대로 624 (우동)","746-7775",
"갑을동물병원","부산광역시 해운대구 재반로 148, 32호 (재송동)","784-7844",
"센텀동물종합병원","부산광역시 해운대구 센텀중앙로 145, 205호 (재송동)","744-6336",
"장산동물병원","부산광역시 해운대구 반여로 96, 1층 (반여동, 영풍빌딩)","529-5388",
"토마스동물병원","부산광역시 해운대구 반송로 922 (반송동)","544-0775",
"Dr.윤24시동물병원","서울특별시 은평구 통일로 817 (대조동)","02-359-0202",
"뉴타운동물병원","서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)","385-8275",
"도그원 동물의료센터","서울특별시 은평구 연서로29길 24, 지, 2층 (갈현동, 정운빌딩)","02-358-1591",
"24시스마트동물메디컬센터","서울특별시 은평구 은평로 93 (응암동)","02-387-7582",
"스머프동물병원","서울특별시 은평구 백련산로 145 (응암동)","02-969-7582",
"다루동물병원","서울특별시 은평구 불광로 60, 1층 (불광동)","02-356-8353",
"도담동물병원","서울특별시 은평구 역말로 7 (역촌동)","02-388-0275",
"조은동물병원","서울특별시 은평구 수색로 217 (수색동, 수색자이 1단지 107호)","02-3152-8575",
"재송동물병원","부산광역시 해운대구 재반로 117-1, 2층 (재송동)","784-0079",
"성심동물병원","부산광역시 해운대구 좌동순환로 308, 3층 (좌동)","704-7540",
"김준완 동물의료센터","부산광역시 해운대구 해운대로 580, 4층 (우동)","704-7582",
"신도시동물병원","부산광역시 해운대구 좌동순환로 178, 2층 (좌동)","703-6996",
"푸른동물병원","부산광역시 해운대구 해운대로61번길 104 (반여동)","784-1235",
"반송동물병원","부산광역시 해운대구 아랫반송로 11-1 (반송동)","545-0041",
"우리동물병원","부산광역시 해운대구 선수촌로 101 (반여동)",
"도그플러스동물병원","부산광역시 해운대구 센텀동로 6, 2층 (우동, 홈플러스센템시티점)","746-0075",
"화목종합동물병원","부산광역시 해운대구 세실로 48, 206호 (좌동)","704-4376",
"해운대조은동물병원","부산광역시 해운대구 해운대로 624 (우동)","746-7775",
"갑을동물병원","부산광역시 해운대구 재반로 148, 32호 (재송동)","784-7844",
"센텀동물종합병원","부산광역시 해운대구 센텀중앙로 145, 205호 (재송동)","744-6336",
"장산동물병원","부산광역시 해운대구 반여로 96, 1층 (반여동, 영풍빌딩)","529-5388",
"토마스동물병원","부산광역시 해운대구 반송로 922 (반송동)","544-0775",
"조앤박동물병원","부산광역시 해운대구 양운로 108, 2층 (좌동)","051-702-7511",
"마린시티 종합동물병원","부산광역시 해운대구 마린시티3로 23, 342~344호 (우동, 벽산오렌지상가)","747-7407",
"BS조은동물병원","부산광역시 해운대구 윗반송로 73 (반송동)","544-7588",
"온누리동물병원","부산광역시 해운대구 좌동순환로 309, 303호 (좌동)","051-701-7555",
"스펀지동물병원","부산광역시 해운대구 해운대로 658-1 (우동)","051-746-1075",
"스마일동물병원","부산광역시 해운대구 반여로 43 (반여동)","051-531-7588",
"해운대동물메디컬센터","부산광역시 해운대구 양운로 40 (좌동, 봉황빌딩 3층)","051-702-8275",
"로이종합동물병원","부산광역시 해운대구 센텀중앙로 145, 202호 (재송동, 센텀파크상가2동)","051-742-7975",
"재송동물병원","부산광역시 해운대구 재반로 117-1, 2층 (재송동)","784-0079",
"성심동물병원","부산광역시 해운대구 좌동순환로 308, 3층 (좌동)","704-7540",
"김준완 동물의료센터","부산광역시 해운대구 해운대로 580, 4층 (우동)","704-7582",
"신도시동물병원","부산광역시 해운대구 좌동순환로 178, 2층 (좌동)","703-6996",
"푸른동물병원","부산광역시 해운대구 해운대로61번길 104 (반여동)","784-1235",
"반송동물병원","부산광역시 해운대구 아랫반송로 11-1 (반송동)","545-0041",
"우리동물병원","부산광역시 해운대구 선수촌로 101 (반여동)",
"도그플러스동물병원","부산광역시 해운대구 센텀동로 6, 2층 (우동, 홈플러스센템시티점)","746-0075",
"화목종합동물병원","부산광역시 해운대구 세실로 48, 206호 (좌동)","704-4376",
"해운대조은동물병원","부산광역시 해운대구 해운대로 624 (우동)","746-7775",
"갑을동물병원","부산광역시 해운대구 재반로 148, 32호 (재송동)","784-7844",
"센텀동물종합병원","부산광역시 해운대구 센텀중앙로 145, 205호 (재송동)","744-6336",
"장산동물병원","부산광역시 해운대구 반여로 96, 1층 (반여동, 영풍빌딩)","529-5388",
"토마스동물병원","부산광역시 해운대구 반송로 922 (반송동)","544-0775",
"조앤박동물병원","부산광역시 해운대구 양운로 108, 2층 (좌동)","051-702-7511",
"마린시티 종합동물병원","부산광역시 해운대구 마린시티3로 23, 342~344호 (우동, 벽산오렌지상가)","747-7407",
"BS조은동물병원","부산광역시 해운대구 윗반송로 73 (반송동)","544-7588",
"온누리동물병원","부산광역시 해운대구 좌동순환로 309, 303호 (좌동)","051-701-7555",
"스펀지동물병원","부산광역시 해운대구 해운대로 658-1 (우동)","051-746-1075",
"스마일동물병원","부산광역시 해운대구 반여로 43 (반여동)","051-531-7588",
"해운대동물메디컬센터","부산광역시 해운대구 양운로 40 (좌동, 봉황빌딩 3층)","051-702-8275",
"로이종합동물병원","부산광역시 해운대구 센텀중앙로 145, 202호 (재송동, 센텀파크상가2동)","051-742-7975",
"메디슨동물병원","부산광역시 해운대구 좌동로 68 (중동)","741-3363",
"해운대 웰(WELL)동물병원","부산광역시 해운대구 마린시티3로 23, 401~403호 (우동, 벽산이오렌지프라자)","051-744-4179",
"닥터주 동물병원","부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)","731-7530",
"웰니스 클리릭 동물병원","부산광역시 해운대구 좌동순환로 511, 3층 (중동, 이마트)","746-8675",
"사랑의동물병원","부산광역시 해운대구 좌동순환로 175 (좌동, 대하프라자)","051-702-1626",
"송준호 동물병원, 해운대강아지.해운대 고양이","부산광역시 해운대구 마린시티2로 2, 2층 208,209호 (우동, 마린파크)","051-746-4119",
"마리동물병원","부산광역시 해운대구 해운대로 794 (좌동, 306호)","051-702-5750",
"누리동물병원","부산광역시 해운대구 해운대로 1252 (송정동)",
"화목종합동물병원","부산광역시 해운대구 세실로 48, 206호 (좌동)","704-4376",
"해운대조은동물병원","부산광역시 해운대구 해운대로 624 (우동)","746-7775",
"갑을동물병원","부산광역시 해운대구 재반로 148, 32호 (재송동)","784-7844",
"센텀동물종합병원","부산광역시 해운대구 센텀중앙로 145, 205호 (재송동)","744-6336",
"장산동물병원","부산광역시 해운대구 반여로 96, 1층 (반여동, 영풍빌딩)","529-5388",
"토마스동물병원","부산광역시 해운대구 반송로 922 (반송동)","544-0775",
"조앤박동물병원","부산광역시 해운대구 양운로 108, 2층 (좌동)","051-702-7511",
"마린시티 종합동물병원","부산광역시 해운대구 마린시티3로 23, 342~344호 (우동, 벽산오렌지상가)","747-7407",
"BS조은동물병원","부산광역시 해운대구 윗반송로 73 (반송동)","544-7588",
"온누리동물병원","부산광역시 해운대구 좌동순환로 309, 303호 (좌동)","051-701-7555",
"스펀지동물병원","부산광역시 해운대구 해운대로 658-1 (우동)","051-746-1075",
"스마일동물병원","부산광역시 해운대구 반여로 43 (반여동)","051-531-7588",
"해운대동물메디컬센터","부산광역시 해운대구 양운로 40 (좌동, 봉황빌딩 3층)","051-702-8275",
"로이종합동물병원","부산광역시 해운대구 센텀중앙로 145, 202호 (재송동, 센텀파크상가2동)","051-742-7975",
"메디슨동물병원","부산광역시 해운대구 좌동로 68 (중동)","741-3363",
"해운대 웰(WELL)동물병원","부산광역시 해운대구 마린시티3로 23, 401~403호 (우동, 벽산이오렌지프라자)","051-744-4179",
"닥터주 동물병원","부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)","731-7530",
"웰니스 클리릭 동물병원","부산광역시 해운대구 좌동순환로 511, 3층 (중동, 이마트)","746-8675",
"사랑의동물병원","부산광역시 해운대구 좌동순환로 175 (좌동, 대하프라자)","051-702-1626",
"송준호 동물병원, 해운대강아지.해운대 고양이","부산광역시 해운대구 마린시티2로 2, 2층 208,209호 (우동, 마린파크)","051-746-4119",
"마리동물병원","부산광역시 해운대구 해운대로 794 (좌동, 306호)","051-702-5750",
"누리동물병원","부산광역시 해운대구 해운대로 1252 (송정동)",
"배선생펫스토리동물병원","광주광역시 광산구 임방울대로 213 (신가동)","062-951-7585",
"동물자유연대 부속 동물병원","경기도 남양주시 화도읍 경춘로2394번길 53","031-523-3013",
"효성동물병원","대구광역시 남구 신촌길 101 (봉덕동)",
"본 동물의료센터","경기도 수원시 장안구 송정로 114 (조원동)","031-248-8275",
"넬 동물의료센터","서울특별시 성북구 오패산로 75-1 (하월곡동)","02-6925-4347",
"사랑이 넘치는 동물병원","인천광역시 연수구 신송로 166, 1층 101호 (송도동, 플러스원프라자)","032-858-0075",
"현대동물병원","부산광역시 사하구 다대로 473, 제1상가동 3층 (다대동, 현대아파트)","246-7582",
"늘봄동물병원","경상북도 경산시 하양읍 대학로305길 51-13","0538538875",
"BS조은동물병원","부산광역시 해운대구 윗반송로 73 (반송동)","544-7588",
"온누리동물병원","부산광역시 해운대구 좌동순환로 309, 303호 (좌동)","051-701-7555",
"스펀지동물병원","부산광역시 해운대구 해운대로 658-1 (우동)","051-746-1075",
"스마일동물병원","부산광역시 해운대구 반여로 43 (반여동)","051-531-7588",
"해운대동물메디컬센터","부산광역시 해운대구 양운로 40 (좌동, 봉황빌딩 3층)","051-702-8275",
"로이종합동물병원","부산광역시 해운대구 센텀중앙로 145, 202호 (재송동, 센텀파크상가2동)","051-742-7975",
"메디슨동물병원","부산광역시 해운대구 좌동로 68 (중동)","741-3363",
"해운대 웰(WELL)동물병원","부산광역시 해운대구 마린시티3로 23, 401~403호 (우동, 벽산이오렌지프라자)","051-744-4179",
"닥터주 동물병원","부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)","731-7530",
"웰니스 클리릭 동물병원","부산광역시 해운대구 좌동순환로 511, 3층 (중동, 이마트)","746-8675",
"사랑의동물병원","부산광역시 해운대구 좌동순환로 175 (좌동, 대하프라자)","051-702-1626",
"송준호 동물병원, 해운대강아지.해운대 고양이","부산광역시 해운대구 마린시티2로 2, 2층 208,209호 (우동, 마린파크)","051-746-4119",
"마리동물병원","부산광역시 해운대구 해운대로 794 (좌동, 306호)","051-702-5750",
"누리동물병원","부산광역시 해운대구 해운대로 1252 (송정동)",
"배선생펫스토리동물병원","광주광역시 광산구 임방울대로 213 (신가동)","062-951-7585",
"동물자유연대 부속 동물병원","경기도 남양주시 화도읍 경춘로2394번길 53","031-523-3013",
"효성동물병원","대구광역시 남구 신촌길 101 (봉덕동)",
"본 동물의료센터","경기도 수원시 장안구 송정로 114 (조원동)","031-248-8275",
"넬 동물의료센터","서울특별시 성북구 오패산로 75-1 (하월곡동)","02-6925-4347",
"사랑이 넘치는 동물병원","인천광역시 연수구 신송로 166, 1층 101호 (송도동, 플러스원프라자)","032-858-0075",
"현대동물병원","부산광역시 사하구 다대로 473, 제1상가동 3층 (다대동, 현대아파트)","246-7582",
"늘봄동물병원","경상북도 경산시 하양읍 대학로305길 51-13","0538538875",
"Dog&Cat(도그앤캣동물병원)","제주특별자치도 서귀포시 일주동로 8700, 2층 (서홍동, 대승빌딩)","064-767-7585",
"탑 동물병원","경기도 남양주시 도농로 71 (도농동, 부영사랑으로7단지아파트)","031-553-7585",
"지동범동물병원","부산광역시 금정구 중앙대로 1640 (부곡동, 신정빌딩 2층)","515-7450",
"부곡동물병원","부산광역시 금정구 부곡로 86 (부곡동)","517-9247",
"한독동물병원","부산광역시 금정구 서동로 200-0 (서동)","531-2852",
"수종합동물병원","부산광역시 금정구 금강로 340 (장전동)","582-9335,011-1755-93",
"남산동물병원","부산광역시 금정구 금강로 703-3 (남산동)","517-8275",
"에이스종합동물병원","부산광역시 금정구 금강로 578 (구서동)","582-8701",
"닥터주 동물병원","부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)","731-7530",
"웰니스 클리릭 동물병원","부산광역시 해운대구 좌동순환로 511, 3층 (중동, 이마트)","746-8675",
"사랑의동물병원","부산광역시 해운대구 좌동순환로 175 (좌동, 대하프라자)","051-702-1626",
"송준호 동물병원, 해운대강아지.해운대 고양이","부산광역시 해운대구 마린시티2로 2, 2층 208,209호 (우동, 마린파크)","051-746-4119",
"마리동물병원","부산광역시 해운대구 해운대로 794 (좌동, 306호)","051-702-5750",
"누리동물병원","부산광역시 해운대구 해운대로 1252 (송정동)",
"배선생펫스토리동물병원","광주광역시 광산구 임방울대로 213 (신가동)","062-951-7585",
"동물자유연대 부속 동물병원","경기도 남양주시 화도읍 경춘로2394번길 53","031-523-3013",
"효성동물병원","대구광역시 남구 신촌길 101 (봉덕동)",
"본 동물의료센터","경기도 수원시 장안구 송정로 114 (조원동)","031-248-8275",
"넬 동물의료센터","서울특별시 성북구 오패산로 75-1 (하월곡동)","02-6925-4347",
"사랑이 넘치는 동물병원","인천광역시 연수구 신송로 166, 1층 101호 (송도동, 플러스원프라자)","032-858-0075",
"현대동물병원","부산광역시 사하구 다대로 473, 제1상가동 3층 (다대동, 현대아파트)","246-7582",
"늘봄동물병원","경상북도 경산시 하양읍 대학로305길 51-13","0538538875",
"Dog&Cat(도그앤캣동물병원)","제주특별자치도 서귀포시 일주동로 8700, 2층 (서홍동, 대승빌딩)","064-767-7585",
"탑 동물병원","경기도 남양주시 도농로 71 (도농동, 부영사랑으로7단지아파트)","031-553-7585",
"지동범동물병원","부산광역시 금정구 중앙대로 1640 (부곡동, 신정빌딩 2층)","515-7450",
"부곡동물병원","부산광역시 금정구 부곡로 86 (부곡동)","517-9247",
"한독동물병원","부산광역시 금정구 서동로 200-0 (서동)","531-2852",
"수종합동물병원","부산광역시 금정구 금강로 340 (장전동)","582-9335,011-1755-93",
"남산동물병원","부산광역시 금정구 금강로 703-3 (남산동)","517-8275",
"에이스종합동물병원","부산광역시 금정구 금강로 578 (구서동)","582-8701",
"구서동물병원","부산광역시 금정구 금강로 454 (구서동)","512-1661",
"장전동물병원","부산광역시 금정구 금강로335번길 1 (장전동)","581-3133",
"수비동물병원","부산광역시 금정구 부곡로 142 (부곡동)","518-7427",
"킹동물병원","부산광역시 금정구 중앙대로 1617-12, 상가128호 (부곡동, 푸르지오아파트)","515-5179, 010-7197-7",
"순동물병원","부산광역시 금정구 금강로 206-3 (장전동)","516-7585",
"금정동물병원","부산광역시 금정구 금강로 188 (장전동)","515-8771",
"참 행복한 동물병원","부산광역시 금정구 금강로 393 (구서동)","051-714-7075",
"동물병원 산책","부산광역시 금정구 수림로 25 (부곡동)","714-0209",
"효성동물병원","대구광역시 남구 신촌길 101 (봉덕동)",
"본 동물의료센터","경기도 수원시 장안구 송정로 114 (조원동)","031-248-8275",
"넬 동물의료센터","서울특별시 성북구 오패산로 75-1 (하월곡동)","02-6925-4347",
"사랑이 넘치는 동물병원","인천광역시 연수구 신송로 166, 1층 101호 (송도동, 플러스원프라자)","032-858-0075",
"현대동물병원","부산광역시 사하구 다대로 473, 제1상가동 3층 (다대동, 현대아파트)","246-7582",
"늘봄동물병원","경상북도 경산시 하양읍 대학로305길 51-13","0538538875",
"Dog&Cat(도그앤캣동물병원)","제주특별자치도 서귀포시 일주동로 8700, 2층 (서홍동, 대승빌딩)","064-767-7585",
"탑 동물병원","경기도 남양주시 도농로 71 (도농동, 부영사랑으로7단지아파트)","031-553-7585",
"지동범동물병원","부산광역시 금정구 중앙대로 1640 (부곡동, 신정빌딩 2층)","515-7450",
"부곡동물병원","부산광역시 금정구 부곡로 86 (부곡동)","517-9247",
"한독동물병원","부산광역시 금정구 서동로 200-0 (서동)","531-2852",
