"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"충주축협동물병원","충청북도 충주시 예성로 256 (교현동)","043-850-7576, 011-48",
"정종합동물병원","충청북도 충주시 지현천변1길 57 (지현동, 정종합동물병원)",
"현대동물병원","충청북도 충주시 번영대로 144 (연수동)","043-851-3040",
"가인동물병원","충청북도 충주시 계명대로 155 (연수동)",
"보드미동물병원","충청북도 충주시 국원대로 108 (교현동)","043-843-0075",
"열린동물병원","충청북도 충주시 금릉로 78 (교현동)","043-857-0075",
"고산동물병원","충청북도 충주시 대소원면 대소원로 138",
"중부동물병원","충청북도 단양군 단양읍 삼봉로 319",
"우리동물병원",
"이동물병원","충청남도 아산시 둔포면 둔포면로  12-8","549-2222",
"김광수동물병원","충청남도 아산시 청운로 159 (권곡동)","545-6796",
"정강동물병원","충청남도 아산시 번영로216번길 36 (모종동)","544-8556",
"경남축산가축병원","경상남도 고성군 회화면 회진로 27-13","673-7737",
"가야동물병원","","674-5345",
"고성동물병원","경상남도 고성군 고성읍 동외로 163-14",
"부화동물병원","경상남도 고성군 고성읍 동외로 175",
"백호동물병원","경상남도 고성군 고성읍 중앙로15번길 62","055-6737194",
"경남수의 동물병원","경상남도 고성군 고성읍 중앙로15번길 62","673-7194",
"서울동물병원","경상남도 고성군 고성읍 남포로 127","055-673-8875",
"엄정동물병원","충청북도 충주시 엄정면 내창로 210","043-852-3576",
"충주동물병원","충청북도 충주시 중앙로 34 (문화동)","043-844-6766, 011-48",
"박동물병원","충청북도 충주시 연수로 6-5 (금릉동)",
"충주축협동물병원","충청북도 충주시 예성로 256 (교현동)","043-850-7576, 011-48",
"정종합동물병원","충청북도 충주시 지현천변1길 57 (지현동, 정종합동물병원)",
"현대동물병원","충청북도 충주시 번영대로 144 (연수동)","043-851-3040",
"가인동물병원","충청북도 충주시 계명대로 155 (연수동)",
"보드미동물병원","충청북도 충주시 국원대로 108 (교현동)","043-843-0075",
"열린동물병원","충청북도 충주시 금릉로 78 (교현동)","043-857-0075",
"고산동물병원","충청북도 충주시 대소원면 대소원로 138",
"중부동물병원","충청북도 단양군 단양읍 삼봉로 319",
"우리동물병원",
"이동물병원","충청남도 아산시 둔포면 둔포면로  12-8","549-2222",
"김광수동물병원","충청남도 아산시 청운로 159 (권곡동)","545-6796",
"정강동물병원","충청남도 아산시 번영로216번길 36 (모종동)","544-8556",
"온양동물병원","충청남도 아산시 번영로 133 (온천동)","541-1222",
"가나동물병원","충청남도 아산시 온천대로 1525 (온천동)","534-7582",
"아산축산업협동조합(동물병원)","충청남도 아산시 염치읍 충무로 471-30","041-544-7744",
"중부벳동물병원","충청남도 아산시 둔포면 둔포로 33","041-533-3548",
"건국동물병원(출장진료전문)","충청남도 아산시 둔포면 충무로 1779",
"배방동물병원","충청남도 아산시 배방읍 북수서로 32","041-541-0275",
"주앤동물병원","충청남도 아산시 중앙로 10 (용화동)","041-547-0275",
"한원동물병원","충청남도 아산시 둔포면 둔포면로17번길 18",
"충주동물병원","충청북도 충주시 중앙로 34 (문화동)","043-844-6766, 011-48",
"박동물병원","충청북도 충주시 연수로 6-5 (금릉동)",
"충주축협동물병원","충청북도 충주시 예성로 256 (교현동)","043-850-7576, 011-48",
"정종합동물병원","충청북도 충주시 지현천변1길 57 (지현동, 정종합동물병원)",
"현대동물병원","충청북도 충주시 번영대로 144 (연수동)","043-851-3040",
"가인동물병원","충청북도 충주시 계명대로 155 (연수동)",
"보드미동물병원","충청북도 충주시 국원대로 108 (교현동)","043-843-0075",
"열린동물병원","충청북도 충주시 금릉로 78 (교현동)","043-857-0075",
"고산동물병원","충청북도 충주시 대소원면 대소원로 138",
"중부동물병원","충청북도 단양군 단양읍 삼봉로 319",
"우리동물병원",
"이동물병원","충청남도 아산시 둔포면 둔포면로  12-8","549-2222",
"김광수동물병원","충청남도 아산시 청운로 159 (권곡동)","545-6796",
"정강동물병원","충청남도 아산시 번영로216번길 36 (모종동)","544-8556",
"온양동물병원","충청남도 아산시 번영로 133 (온천동)","541-1222",
"가나동물병원","충청남도 아산시 온천대로 1525 (온천동)","534-7582",
"아산축산업협동조합(동물병원)","충청남도 아산시 염치읍 충무로 471-30","041-544-7744",
"중부벳동물병원","충청남도 아산시 둔포면 둔포로 33","041-533-3548",
"건국동물병원(출장진료전문)","충청남도 아산시 둔포면 충무로 1779",
"배방동물병원","충청남도 아산시 배방읍 북수서로 32","041-541-0275",
"주앤동물병원","충청남도 아산시 중앙로 10 (용화동)","041-547-0275",
"한원동물병원","충청남도 아산시 둔포면 둔포면로17번길 18",
"웰니스 클리닉","충청남도 아산시 배방읍 고속철대로 133 (이마트트레이더스 2층)","041-548-7552",
"충무가축병원","충청남도 아산시 시민로 467-41 (온천동)","0415453334",
"숲속동물병원","충청남도 아산시 배방읍 모산로126번길 6",
"수동물병원","충청남도 아산시 영인면 영인로 45",
"드림컨설팅동물병원","충청남도 아산시 충무로 12-1 (온천동)",
"노아동물병원","충청남도 금산군 금산읍 인삼로 89 (노아동물병원)","754-3058",
"우신동물병원","충청남도 금산군 금산읍 오리정1길 45","753-8128",
"가믄장 동물병원","충청남도 금산군 금산읍 금산로 1444","751-8880",
"고산동물병원","충청북도 충주시 대소원면 대소원로 138",
"중부동물병원","충청북도 단양군 단양읍 삼봉로 319",
"우리동물병원",
"이동물병원","충청남도 아산시 둔포면 둔포면로  12-8","549-2222",
"김광수동물병원","충청남도 아산시 청운로 159 (권곡동)","545-6796",
"정강동물병원","충청남도 아산시 번영로216번길 36 (모종동)","544-8556",
"온양동물병원","충청남도 아산시 번영로 133 (온천동)","541-1222",
"가나동물병원","충청남도 아산시 온천대로 1525 (온천동)","534-7582",
"아산축산업협동조합(동물병원)","충청남도 아산시 염치읍 충무로 471-30","041-544-7744",
"중부벳동물병원","충청남도 아산시 둔포면 둔포로 33","041-533-3548",
"건국동물병원(출장진료전문)","충청남도 아산시 둔포면 충무로 1779",
"배방동물병원","충청남도 아산시 배방읍 북수서로 32","041-541-0275",
"주앤동물병원","충청남도 아산시 중앙로 10 (용화동)","041-547-0275",
"한원동물병원","충청남도 아산시 둔포면 둔포면로17번길 18",
"웰니스 클리닉","충청남도 아산시 배방읍 고속철대로 133 (이마트트레이더스 2층)","041-548-7552",
"충무가축병원","충청남도 아산시 시민로 467-41 (온천동)","0415453334",
"숲속동물병원","충청남도 아산시 배방읍 모산로126번길 6",
"수동물병원","충청남도 아산시 영인면 영인로 45",
"드림컨설팅동물병원","충청남도 아산시 충무로 12-1 (온천동)",
"노아동물병원","충청남도 금산군 금산읍 인삼로 89 (노아동물병원)","754-3058",
"우신동물병원","충청남도 금산군 금산읍 오리정1길 45","753-8128",
"가믄장 동물병원","충청남도 금산군 금산읍 금산로 1444","751-8880",
"중앙동물병원","충청남도 금산군 금산읍 인삼로 93","041-753-7537",
"칠보동물병원","전라북도 정읍시 칠보면 복호2길 19-1",
"제일동물병원",
"한일동물병원",
"최동물병원",
"대한동물병원","","535-4276",
"정읍축산동물병원","전라북도 정읍시 명덕1길 14-1 (연지동)","536-0531",
"김용태동물병원","전라북도 정읍시 태인면 정읍북로 1250-1","533-9890",
"아산축산업협동조합(동물병원)","충청남도 아산시 염치읍 충무로 471-30","041-544-7744",
"중부벳동물병원","충청남도 아산시 둔포면 둔포로 33","041-533-3548",
"건국동물병원(출장진료전문)","충청남도 아산시 둔포면 충무로 1779",
"배방동물병원","충청남도 아산시 배방읍 북수서로 32","041-541-0275",
"주앤동물병원","충청남도 아산시 중앙로 10 (용화동)","041-547-0275",
"한원동물병원","충청남도 아산시 둔포면 둔포면로17번길 18",
"웰니스 클리닉","충청남도 아산시 배방읍 고속철대로 133 (이마트트레이더스 2층)","041-548-7552",
"충무가축병원","충청남도 아산시 시민로 467-41 (온천동)","0415453334",
"숲속동물병원","충청남도 아산시 배방읍 모산로126번길 6",
"수동물병원","충청남도 아산시 영인면 영인로 45",
"드림컨설팅동물병원","충청남도 아산시 충무로 12-1 (온천동)",
"노아동물병원","충청남도 금산군 금산읍 인삼로 89 (노아동물병원)","754-3058",
"우신동물병원","충청남도 금산군 금산읍 오리정1길 45","753-8128",
"가믄장 동물병원","충청남도 금산군 금산읍 금산로 1444","751-8880",
"중앙동물병원","충청남도 금산군 금산읍 인삼로 93","041-753-7537",
"칠보동물병원","전라북도 정읍시 칠보면 복호2길 19-1",
"제일동물병원",
"한일동물병원",
"최동물병원",
"대한동물병원","","535-4276",
"정읍축산동물병원","전라북도 정읍시 명덕1길 14-1 (연지동)","536-0531",
"김용태동물병원","전라북도 정읍시 태인면 정읍북로 1250-1","533-9890",
"송가축병원","전라북도 정읍시 중앙3길 16 (수성동)","063-535-2048",
"다나동물병원","전라북도 정읍시 충정로 201 (장명동)","063-537-1041",
"고향동물병원","전라북도 정읍시 덕천면 금계2길 37",
"연합동물병원","전라북도 정읍시 명륜길 37 (연지동)","063-536-1468",
"녹십자동물병원","전라북도 정읍시 중앙로 165 (시기동)","063-532-5652",
"청수동물병원","전라북도 정읍시 명덕2길 11 (연지동)","063-537-7588",
"My pet 동물병원","","063-538-8575",
"서울동물병원","전라북도 정읍시 명덕1길 19 (연지동)",
"숲속동물병원","충청남도 아산시 배방읍 모산로126번길 6",
"수동물병원","충청남도 아산시 영인면 영인로 45",
"드림컨설팅동물병원","충청남도 아산시 충무로 12-1 (온천동)",
"노아동물병원","충청남도 금산군 금산읍 인삼로 89 (노아동물병원)","754-3058",
"우신동물병원","충청남도 금산군 금산읍 오리정1길 45","753-8128",
"가믄장 동물병원","충청남도 금산군 금산읍 금산로 1444","751-8880",
"중앙동물병원","충청남도 금산군 금산읍 인삼로 93","041-753-7537",
"칠보동물병원","전라북도 정읍시 칠보면 복호2길 19-1",
"제일동물병원",
"한일동물병원",
"최동물병원",
"대한동물병원","","535-4276",
"정읍축산동물병원","전라북도 정읍시 명덕1길 14-1 (연지동)","536-0531",
"김용태동물병원","전라북도 정읍시 태인면 정읍북로 1250-1","533-9890",
"송가축병원","전라북도 정읍시 중앙3길 16 (수성동)","063-535-2048",
"다나동물병원","전라북도 정읍시 충정로 201 (장명동)","063-537-1041",
"고향동물병원","전라북도 정읍시 덕천면 금계2길 37",
"연합동물병원","전라북도 정읍시 명륜길 37 (연지동)","063-536-1468",
"녹십자동물병원","전라북도 정읍시 중앙로 165 (시기동)","063-532-5652",
"청수동물병원","전라북도 정읍시 명덕2길 11 (연지동)","063-537-7588",
"My pet 동물병원","","063-538-8575",
"서울동물병원","전라북도 정읍시 명덕1길 19 (연지동)",
"쿨펫동물병원",
"유한회사 키움팜동물병원","","537-6556",
"동물의료센터 청십자","전라북도 정읍시 충정로 348 (연지동)",
"순정축협 동물병원","전라북도 정읍시 북면 정읍북로 710-1 (순정축산업협동조합TMF사료공장)","063-533-6831",
"안정성평가연구소 전북영장류시험본부 부속동물병원","전라북도 정읍시 백학1길 30 (신정동)","570-8313",
"우성동물병원","전라북도 정읍시 충정로 363 (연지동)",
"정주동물병원","전라북도 정읍시 칠보면 칠보중앙로 77-4, 2층 (삼화식당)",
"큐동물병원","서울특별시 성북구 장위로 81 (장위동)",
"제일동물병원",
"한일동물병원",
"최동물병원",
"대한동물병원","","535-4276",
"정읍축산동물병원","전라북도 정읍시 명덕1길 14-1 (연지동)","536-0531",
"김용태동물병원","전라북도 정읍시 태인면 정읍북로 1250-1","533-9890",
"송가축병원","전라북도 정읍시 중앙3길 16 (수성동)","063-535-2048",
"다나동물병원","전라북도 정읍시 충정로 201 (장명동)","063-537-1041",
"고향동물병원","전라북도 정읍시 덕천면 금계2길 37",
"연합동물병원","전라북도 정읍시 명륜길 37 (연지동)","063-536-1468",
"녹십자동물병원","전라북도 정읍시 중앙로 165 (시기동)","063-532-5652",
"청수동물병원","전라북도 정읍시 명덕2길 11 (연지동)","063-537-7588",
"My pet 동물병원","","063-538-8575",
"서울동물병원","전라북도 정읍시 명덕1길 19 (연지동)",
"쿨펫동물병원",
"유한회사 키움팜동물병원","","537-6556",
"동물의료센터 청십자","전라북도 정읍시 충정로 348 (연지동)",
"순정축협 동물병원","전라북도 정읍시 북면 정읍북로 710-1 (순정축산업협동조합TMF사료공장)","063-533-6831",
"안정성평가연구소 전북영장류시험본부 부속동물병원","전라북도 정읍시 백학1길 30 (신정동)","570-8313",
"우성동물병원","전라북도 정읍시 충정로 363 (연지동)",
"정주동물병원","전라북도 정읍시 칠보면 칠보중앙로 77-4, 2층 (삼화식당)",
"큐동물병원","서울특별시 성북구 장위로 81 (장위동)",
"한사랑동물병원","서울특별시 성북구 성북로 27 (성북동1가)",
"나래종합동물병원","서울특별시 성북구 동소문로 66 (동소문동3가)","929-5496",
"다나동물병원","서울특별시 성북구 화랑로 301 (장위동)","943-8575",
"서울종합동물병원","서울특별시 성북구 보문로 137 (보문동2가)","928-5599",
"베스트종합동물병원","서울특별시 성북구 동소문로 36 (동소문동3가)",
"대학동물병원","서울특별시 성북구 화랑로 309 (장위동)","912-0360",
"강북동물병원","서울특별시 성북구 종암로 65 (종암동)","924-4555",
"드림동물병원","서울특별시 성북구 동소문로 74 (동소문동5가)","928-7582",
"고향동물병원","전라북도 정읍시 덕천면 금계2길 37",
"연합동물병원","전라북도 정읍시 명륜길 37 (연지동)","063-536-1468",
"녹십자동물병원","전라북도 정읍시 중앙로 165 (시기동)","063-532-5652",
"청수동물병원","전라북도 정읍시 명덕2길 11 (연지동)","063-537-7588",
"My pet 동물병원","","063-538-8575",
"서울동물병원","전라북도 정읍시 명덕1길 19 (연지동)",
"쿨펫동물병원",
"유한회사 키움팜동물병원","","537-6556",
"동물의료센터 청십자","전라북도 정읍시 충정로 348 (연지동)",
"순정축협 동물병원","전라북도 정읍시 북면 정읍북로 710-1 (순정축산업협동조합TMF사료공장)","063-533-6831",
"안정성평가연구소 전북영장류시험본부 부속동물병원","전라북도 정읍시 백학1길 30 (신정동)","570-8313",
"우성동물병원","전라북도 정읍시 충정로 363 (연지동)",
"정주동물병원","전라북도 정읍시 칠보면 칠보중앙로 77-4, 2층 (삼화식당)",
"큐동물병원","서울특별시 성북구 장위로 81 (장위동)",
"한사랑동물병원","서울특별시 성북구 성북로 27 (성북동1가)",
"나래종합동물병원","서울특별시 성북구 동소문로 66 (동소문동3가)","929-5496",
"다나동물병원","서울특별시 성북구 화랑로 301 (장위동)","943-8575",
"서울종합동물병원","서울특별시 성북구 보문로 137 (보문동2가)","928-5599",
"베스트종합동물병원","서울특별시 성북구 동소문로 36 (동소문동3가)",
"대학동물병원","서울특별시 성북구 화랑로 309 (장위동)","912-0360",
"강북동물병원","서울특별시 성북구 종암로 65 (종암동)","924-4555",
"드림동물병원","서울특별시 성북구 동소문로 74 (동소문동5가)","928-7582",
"길음동물병원","서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)","913-1874",
"정릉동물병원","서울특별시 성북구 보국문로 4, 2층 (정릉동)","941-7525",
"행복한동물병원","서울특별시 성북구 돌곶이로 91 (장위동)","915-7582",
"미소동물병원","서울특별시 성북구 종암로19길 7 (종암동)","929-1212",
"중앙동물병원","서울특별시 성북구 돌곶이로 56 (석관동)","967-0300",
"24시 북악동물병원","서울특별시 성북구 정릉로 272-9 (정릉동)","941-7900",
"비비펫 동물병원","서울특별시 성북구 화랑로 91 (하월곡동)","912-0018",
"이솝동물병원","서울특별시 성북구 보국문로 70 (정릉동)","943-8376",
"동물의료센터 청십자","전라북도 정읍시 충정로 348 (연지동)",
"순정축협 동물병원","전라북도 정읍시 북면 정읍북로 710-1 (순정축산업협동조합TMF사료공장)","063-533-6831",
"안정성평가연구소 전북영장류시험본부 부속동물병원","전라북도 정읍시 백학1길 30 (신정동)","570-8313",
"우성동물병원","전라북도 정읍시 충정로 363 (연지동)",
"정주동물병원","전라북도 정읍시 칠보면 칠보중앙로 77-4, 2층 (삼화식당)",
"큐동물병원","서울특별시 성북구 장위로 81 (장위동)",
"한사랑동물병원","서울특별시 성북구 성북로 27 (성북동1가)",
"나래종합동물병원","서울특별시 성북구 동소문로 66 (동소문동3가)","929-5496",
"다나동물병원","서울특별시 성북구 화랑로 301 (장위동)","943-8575",
"서울종합동물병원","서울특별시 성북구 보문로 137 (보문동2가)","928-5599",
"베스트종합동물병원","서울특별시 성북구 동소문로 36 (동소문동3가)",
"대학동물병원","서울특별시 성북구 화랑로 309 (장위동)","912-0360",
"강북동물병원","서울특별시 성북구 종암로 65 (종암동)","924-4555",
"드림동물병원","서울특별시 성북구 동소문로 74 (동소문동5가)","928-7582",
"길음동물병원","서울특별시 성북구 동소문로 248 (길음동, 삼부상가 102동 6,7호)","913-1874",
"정릉동물병원","서울특별시 성북구 보국문로 4, 2층 (정릉동)","941-7525",
"행복한동물병원","서울특별시 성북구 돌곶이로 91 (장위동)","915-7582",
"미소동물병원","서울특별시 성북구 종암로19길 7 (종암동)","929-1212",
"중앙동물병원","서울특별시 성북구 돌곶이로 56 (석관동)","967-0300",
"24시 북악동물병원","서울특별시 성북구 정릉로 272-9 (정릉동)","941-7900",
"비비펫 동물병원","서울특별시 성북구 화랑로 91 (하월곡동)","912-0018",
"이솝동물병원","서울특별시 성북구 보국문로 70 (정릉동)","943-8376",
"ZOO동물병원","서울특별시 성북구 보국문로 13-1, 2층 (정릉동)","914-5545",
"우리동물병원","서울특별시 성북구 삼양로 84 (길음동)","989-8575",
"VIP 동물의료센터","서울특별시 성북구 동소문로 73, 1층 (동소문동6가, 시티플레이스)","953-0075",
"태양 동물병원","서울특별시 성북구 돌곶이로 31 (석관동)","969-0075",
"쓰담쓰담 동물병원","서울특별시 성북구 종암로 113 (종암동)","927-7585",
"마로동물병원","서울특별시 성북구 동소문로44길 43 (하월곡동, 성북힐스테이트 101동112호)","6014-8275",
"호담동물병원","서울특별시 성북구 동소문로 302 (하월곡동)","915-5301",
"꿈의숲동물병원","서울특별시 성북구 돌곶이로 205 (장위동)","915-5485,010-5296-42",
"다나동물병원","서울특별시 성북구 화랑로 301 (장위동)","943-8575",
"서울종합동물병원","서울특별시 성북구 보문로 137 (보문동2가)","928-5599",
"베스트종합동물병원","서울특별시 성북구 동소문로 36 (동소문동3가)",
"대학동물병원","서울특별시 성북구 화랑로 309 (장위동)","912-0360",
